"time","St"
0,1
0.0650406504065041,1
0.130081300813008,1
0.138211382113821,0.998461538461539
0.601626016260163,0.998461538461539
0.609756097560976,0.995384615384615
0.617886178861789,0.995384615384615
0.626016260162602,0.990769230769231
1.96747967479675,0.990769230769231
1.97560975609756,0.989230769230769
2.07317073170732,0.989230769230769
2.08130081300813,0.987692307692308
4.49593495934959,0.987692307692308
4.50406504065041,0.986153846153846
4.50406504065041,0.986153846153846
4.51219512195122,0.984615384615385
4.51219512195122,0.984615384615385
4.52032520325203,0.983076923076923
4.52032520325203,0.983076923076923
