"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","OS",0,"years",722,0,1,0,0,1,1
"Survival","OS",30,"years",705,8,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",60,"years",705,0,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",90,"years",705,0,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",120,"years",638,0,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",150,"years",638,0,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",180,"years",638,0,0.988804926757793,0.00393590692459776,1.54913633190966e-05,0.981120704432264,0.996549332578056
"Survival","OS",210,"years",636,1,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",240,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",270,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",300,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",330,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",360,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",390,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",420,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",450,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",480,"years",636,0,0.987252642728346,0.0042247563234449,1.78485659924877e-05,0.97900690052811,0.995567835168817
"Survival","OS",510,"years",626,4,0.981009049715508,0.00522567284253073,2.73076566571632e-05,0.970820199554179,0.991304832826582
"Survival","OS",540,"years",626,0,0.981009049715508,0.00522567284253073,2.73076566571632e-05,0.970820199554179,0.991304832826582
"Survival","OS",570,"years",546,0,0.981009049715508,0.00522567284253073,2.73076566571632e-05,0.970820199554179,0.991304832826582
"Survival","OS",600,"years",546,0,0.981009049715508,0.00522567284253073,2.73076566571632e-05,0.970820199554179,0.991304832826582
"Survival","OS",630,"years",542,2,0.977402398797436,0.00579545407635333,3.35872879511204e-05,0.966109266203037,0.988827540107884
"Survival","OS",660,"years",508,0,0.977402398797436,0.00579545407635333,3.35872879511204e-05,0.966109266203037,0.988827540107884
"Survival","OS",690,"years",504,1,0.975466948502788,0.00609860236249503,3.719295077583e-05,0.96358684355529,0.987493523791291
"Survival","OS",720,"years",466,0,0.975466948502788,0.00609860236249503,3.719295077583e-05,0.96358684355529,0.987493523791291
"Survival","OS",750,"years",465,1,0.973373671789262,0.00643474164437289,4.14059000298268e-05,0.960843163211491,0.986067592723211
"Survival","OS",780,"years",405,0,0.973373671789262,0.00643474164437289,4.14059000298268e-05,0.960843163211491,0.986067592723211
"Survival","OS",810,"years",400,1,0.970946306024202,0.00686127213717038,4.70770553403106e-05,0.95759115928031,0.984487711739704
"Survival","OS",840,"years",400,0,0.970946306024202,0.00686127213717038,4.70770553403106e-05,0.95759115928031,0.984487711739704
"Survival","OS",870,"years",258,0,0.970946306024202,0.00686127213717038,4.70770553403106e-05,0.95759115928031,0.984487711739704
"Survival","OS",900,"years",258,0,0.970946306024202,0.00686127213717038,4.70770553403106e-05,0.95759115928031,0.984487711739704
"Survival","OS",930,"years",253,1,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",960,"years",253,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",990,"years",60,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1020,"years",60,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1050,"years",60,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1080,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1110,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1140,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1170,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1200,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1230,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1260,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1290,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1320,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1350,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1380,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1410,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1440,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1470,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1500,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1530,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1560,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1590,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1620,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","OS",1650,"years",50,0,0.967123682772138,0.00782700573420741,6.12620187633156e-05,0.951904060414411,0.982586645729349
"Survival","PFS",0,"years",722,0,1,0,0,1,1
"Survival","PFS",30,"years",710,7,0.990254403137037,0.00366552875719836,1.34361010698481e-05,0.983096096973701,0.997464831719825
"Survival","PFS",60,"years",701,0,0.990254403137037,0.00366552875719836,1.34361010698481e-05,0.983096096973701,0.997464831719825
"Survival","PFS",90,"years",697,2,0.987423078124384,0.0041660682654991,1.73561247927987e-05,0.979291402527554,0.99562227616432
"Survival","PFS",120,"years",684,0,0.987423078124384,0.0041660682654991,1.73561247927987e-05,0.979291402527554,0.99562227616432
"Survival","PFS",150,"years",683,1,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",180,"years",683,0,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",210,"years",683,0,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",240,"years",645,0,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",270,"years",645,0,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",300,"years",645,0,0.985979477132974,0.00440299330563566,1.93863500494724e-05,0.977387424314466,0.994647061281023
"Survival","PFS",330,"years",633,3,0.981393526076541,0.00511704415442249,2.61841408783094e-05,0.971415375863661,0.991474169501023
"Survival","PFS",360,"years",627,5,0.973636672808702,0.00614089132000374,3.77105462040973e-05,0.961674834391362,0.985747299125243
"Survival","PFS",390,"years",627,0,0.973636672808702,0.00614089132000374,3.77105462040973e-05,0.961674834391362,0.985747299125243
"Survival","PFS",420,"years",622,4,0.967415352215676,0.006844307171838,4.68445406624731e-05,0.954093334520945,0.980923385417524
"Survival","PFS",450,"years",594,0,0.967415352215676,0.006844307171838,4.68445406624731e-05,0.954093334520945,0.980923385417524
"Survival","PFS",480,"years",567,1,0.965781204661257,0.00702512228347106,4.93523430977216e-05,0.952109904324513,0.979648810542192
"Survival","PFS",510,"years",552,8,0.952020738799888,0.00844324275332317,7.12883481915442e-05,0.935615283655311,0.968713853801249
"Survival","PFS",540,"years",526,0,0.952020738799888,0.00844324275332317,7.12883481915442e-05,0.935615283655311,0.968713853801249
"Survival","PFS",570,"years",523,1,0.950203905328896,0.00862038858490795,7.43110993548113e-05,0.933457579264099,0.96725066222515
"Survival","PFS",600,"years",491,1,0.948272596578227,0.00881655834148201,7.77317009887561e-05,0.931148953565018,0.965711139961481
"Survival","PFS",630,"years",455,2,0.9443941810503,0.00919714367035505,8.45874516931519e-05,0.926539057122165,0.962593387020135
"Survival","PFS",660,"years",449,5,0.93399336407838,0.0102044928866924,0.000104131675074556,0.914205548812258,0.954209483059696
"Survival","PFS",690,"years",449,0,0.93399336407838,0.0102044928866924,0.000104131675074556,0.914205548812258,0.954209483059696
"Survival","PFS",720,"years",449,0,0.93399336407838,0.0102044928866924,0.000104131675074556,0.914205548812258,0.954209483059696
"Survival","PFS",750,"years",448,0,0.93399336407838,0.0102044928866924,0.000104131675074556,0.914205548812258,0.954209483059696
"Survival","PFS",780,"years",410,1,0.931908557462134,0.0103924990814074,0.000108004037157054,0.911760624497793,0.952501716061174
"Survival","PFS",810,"years",407,1,0.929624467860511,0.0106150616012819,0.000112679532799009,0.909050413417109,0.950664163933896
"Survival","PFS",840,"years",379,1,0.927329098804065,0.0108341814434522,0.000117379487549644,0.906335770361953,0.948808692771043
"Survival","PFS",870,"years",368,5,0.914937696030073,0.0120234740951549,0.000144563929316861,0.891673014141243,0.938809377811022
"Survival","PFS",900,"years",340,1,0.912254594282184,0.0122839412939251,0.000150895213712598,0.888493441279532,0.936651196423552
"Survival","PFS",930,"years",321,0,0.912254594282184,0.0122839412939251,0.000150895213712598,0.888493441279532,0.936651196423552
