"","theta","shape","rate"
"theta",0.203850702542375,-0.000340895306744329,0.0842501447784989
"shape",-0.000340895306744324,0.0000796766996787686,-0.00862209014067975
"rate",0.0842501447784991,-0.00862209014067975,1.14651207711646
