"","theta","meanlog","sdlog"
"theta",0.0358118489273735,-0.0000909301615815755,-0.0000214450632112767
"meanlog",-0.0000909301615815755,0.00522782606964717,0.000086796487334004
"sdlog",-0.0000214450632112767,0.000086796487334004,0.0173025505049205
