"","gamma0","gamma1","gamma2","gamma3","gamma4"
"gamma0",35.1073527078232,-7.22813780169309,-7.83533154714452,4.64874977620727,-0.362088019626791
"gamma1",-7.22813780169262,1.49553917187274,1.66910234319539,-1.00491160768961,0.0858207535968016
"gamma2",-7.83533154713586,1.66910234319371,2.59530701592095,-1.85965103678335,0.330581379746407
"gamma3",4.64874977619865,-1.00491160768789,-1.85965103678257,1.43483713724738,-0.308387336302105
"gamma4",-0.362088019624041,0.0858207535962391,0.330581379745877,-0.308387336301827,0.0928581758957149
