"arm","le","le_bmt","le_rel"
"BSC","66.63 (63.25, 68.96)","41.69 (31.63, 51.61)","38.79 (30.7, 47.15)"
"Blina","68.56 (65.78, 70.64)","39.9 (29.32, 51.24)","34.22 (26.36, 44.17)"
