"arm","le","le_bmt","le_rel"
"BSC","66.31 (62.82, 68.66)","41.59 (31.52, 51.29)","36.72 (29.42, 44.88)"
"Blina","68.38 (65.71, 70.54)","39.93 (29.27, 51.23)","32.83 (25.27, 42)"
