"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","OS",500
30,0.9996,0.999262733333333,0.996315833333333,1,"BSC","OS",500
60,0.998866666666667,0.998315533333333,0.9937125,0.999833333333333,"BSC","OS",500
90,0.997833333333333,0.9971052,0.990779166666667,0.999533333333333,"BSC","OS",500
120,0.996566666666667,0.995798133333333,0.988215833333333,0.999035,"BSC","OS",500
150,0.995433333333333,0.994494866666667,0.9846825,0.9985,"BSC","OS",500
180,0.99445,0.993262466666667,0.981863333333333,0.998,"BSC","OS",500
210,0.993416666666667,0.992138466666667,0.979875833333333,0.997350833333333,"BSC","OS",500
240,0.992516666666667,0.991073066666667,0.978214166666666,0.9967175,"BSC","OS",500
270,0.991583333333333,0.990038733333333,0.9768825,0.996066666666667,"BSC","OS",500
300,0.990633333333333,0.989042133333333,0.975026666666666,0.995584166666667,"BSC","OS",500
330,0.989633333333333,0.988070466666667,0.973700833333333,0.994784166666667,"BSC","OS",500
360,0.988666666666667,0.987114333333333,0.9721825,0.994054166666666,"BSC","OS",500
390,0.987733333333333,0.986178266666667,0.9703125,0.993368333333333,"BSC","OS",500
420,0.986933333333333,0.9852538,0.969215833333333,0.992754166666667,"BSC","OS",500
450,0.986,0.984347866666667,0.9678025,0.992133333333333,"BSC","OS",500
480,0.985166666666667,0.9834728,0.9662675,0.991375,"BSC","OS",500
510,0.984333333333333,0.982608333333333,0.964761666666667,0.9908,"BSC","OS",500
540,0.98355,0.981772866666667,0.963549166666666,0.990135,"BSC","OS",500
570,0.9828,0.980948266666667,0.962449166666666,0.9895175,"BSC","OS",500
600,0.982033333333333,0.980144066666667,0.961496666666667,0.988833333333333,"BSC","OS",500
630,0.9813,0.979351866666667,0.960796666666667,0.9883,"BSC","OS",500
660,0.9804,0.9785778,0.9599425,0.987701666666667,"BSC","OS",500
690,0.979666666666667,0.977826933333333,0.958993333333333,0.987084166666667,"BSC","OS",500
720,0.97885,0.977091466666667,0.95782,0.9866,"BSC","OS",500
750,0.978183333333333,0.976370533333333,0.9570775,0.985868333333333,"BSC","OS",500
780,0.977433333333333,0.975664866666667,0.9560125,0.985350833333334,"BSC","OS",500
810,0.97675,0.974968133333333,0.954997499999999,0.984784166666667,"BSC","OS",500
