"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
180000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
180000,"Chemotherapy only",0,FALSE,"discounted","base_case"
185000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
185000,"Chemotherapy only",0,FALSE,"discounted","base_case"
190000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
190000,"Chemotherapy only",0,FALSE,"discounted","base_case"
195000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
195000,"Chemotherapy only",0,FALSE,"discounted","base_case"
200000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
200000,"Chemotherapy only",0,FALSE,"discounted","base_case"
0,"Blinatumomab and chemotherapy",0,FALSE,"undiscounted","base_case"
0,"Chemotherapy only",1,TRUE,"undiscounted","base_case"
5000,"Blinatumomab and chemotherapy",0.0308641975308642,FALSE,"undiscounted","base_case"
5000,"Chemotherapy only",0.969135802469136,TRUE,"undiscounted","base_case"
10000,"Blinatumomab and chemotherapy",0.154320987654321,FALSE,"undiscounted","base_case"
10000,"Chemotherapy only",0.845679012345679,TRUE,"undiscounted","base_case"
15000,"Blinatumomab and chemotherapy",0.372427983539095,FALSE,"undiscounted","base_case"
15000,"Chemotherapy only",0.627572016460905,TRUE,"undiscounted","base_case"
20000,"Blinatumomab and chemotherapy",0.602880658436214,TRUE,"undiscounted","base_case"
20000,"Chemotherapy only",0.397119341563786,FALSE,"undiscounted","base_case"
25000,"Blinatumomab and chemotherapy",0.783950617283951,TRUE,"undiscounted","base_case"
25000,"Chemotherapy only",0.216049382716049,FALSE,"undiscounted","base_case"
30000,"Blinatumomab and chemotherapy",0.874485596707819,TRUE,"undiscounted","base_case"
30000,"Chemotherapy only",0.125514403292181,FALSE,"undiscounted","base_case"
35000,"Blinatumomab and chemotherapy",0.909465020576132,TRUE,"undiscounted","base_case"
35000,"Chemotherapy only",0.0905349794238683,FALSE,"undiscounted","base_case"
40000,"Blinatumomab and chemotherapy",0.944444444444444,TRUE,"undiscounted","base_case"
40000,"Chemotherapy only",0.0555555555555556,FALSE,"undiscounted","base_case"
45000,"Blinatumomab and chemotherapy",0.962962962962963,TRUE,"undiscounted","base_case"
45000,"Chemotherapy only",0.037037037037037,FALSE,"undiscounted","base_case"
50000,"Blinatumomab and chemotherapy",0.977366255144033,TRUE,"undiscounted","base_case"
50000,"Chemotherapy only",0.0226337448559671,FALSE,"undiscounted","base_case"
55000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"undiscounted","base_case"
55000,"Chemotherapy only",0.01440329218107,FALSE,"undiscounted","base_case"
60000,"Blinatumomab and chemotherapy",0.987654320987654,TRUE,"undiscounted","base_case"
60000,"Chemotherapy only",0.0123456790123457,FALSE,"undiscounted","base_case"
65000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"undiscounted","base_case"
65000,"Chemotherapy only",0.0102880658436214,FALSE,"undiscounted","base_case"
70000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"undiscounted","base_case"
70000,"Chemotherapy only",0.0102880658436214,FALSE,"undiscounted","base_case"
75000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"undiscounted","base_case"
75000,"Chemotherapy only",0.00617283950617284,FALSE,"undiscounted","base_case"
80000,"Blinatumomab and chemotherapy",0.995884773662551,TRUE,"undiscounted","base_case"
80000,"Chemotherapy only",0.00411522633744856,FALSE,"undiscounted","base_case"
85000,"Blinatumomab and chemotherapy",0.997942386831276,TRUE,"undiscounted","base_case"
85000,"Chemotherapy only",0.00205761316872428,FALSE,"undiscounted","base_case"
90000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
90000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
95000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
95000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
100000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
100000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
105000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
105000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
110000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
110000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
115000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
115000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
120000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
120000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
125000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
125000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
130000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
130000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
135000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
135000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
140000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
140000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
145000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
145000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
150000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
150000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
155000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
155000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
160000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
160000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
165000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
165000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
170000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
170000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
175000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
175000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
180000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
180000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
185000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
185000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
190000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
190000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
195000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
195000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
200000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
200000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
0,"Blinatumomab and chemotherapy",0.00205761316872428,FALSE,"discounted","blina_cost_low"
0,"Chemotherapy only",0.997942386831276,TRUE,"discounted","blina_cost_low"
5000,"Blinatumomab and chemotherapy",0.0102880658436214,FALSE,"discounted","blina_cost_low"
5000,"Chemotherapy only",0.989711934156379,TRUE,"discounted","blina_cost_low"
10000,"Blinatumomab and chemotherapy",0.0555555555555556,FALSE,"discounted","blina_cost_low"
10000,"Chemotherapy only",0.944444444444444,TRUE,"discounted","blina_cost_low"
15000,"Blinatumomab and chemotherapy",0.150205761316872,FALSE,"discounted","blina_cost_low"
15000,"Chemotherapy only",0.849794238683128,TRUE,"discounted","blina_cost_low"
20000,"Blinatumomab and chemotherapy",0.296296296296296,FALSE,"discounted","blina_cost_low"
20000,"Chemotherapy only",0.703703703703704,TRUE,"discounted","blina_cost_low"
25000,"Blinatumomab and chemotherapy",0.44238683127572,FALSE,"discounted","blina_cost_low"
25000,"Chemotherapy only",0.55761316872428,TRUE,"discounted","blina_cost_low"
30000,"Blinatumomab and chemotherapy",0.576131687242798,TRUE,"discounted","blina_cost_low"
30000,"Chemotherapy only",0.423868312757202,FALSE,"discounted","blina_cost_low"
35000,"Blinatumomab and chemotherapy",0.697530864197531,TRUE,"discounted","blina_cost_low"
35000,"Chemotherapy only",0.302469135802469,FALSE,"discounted","blina_cost_low"
40000,"Blinatumomab and chemotherapy",0.792181069958848,TRUE,"discounted","blina_cost_low"
40000,"Chemotherapy only",0.207818930041152,FALSE,"discounted","blina_cost_low"
45000,"Blinatumomab and chemotherapy",0.84156378600823,TRUE,"discounted","blina_cost_low"
45000,"Chemotherapy only",0.15843621399177,FALSE,"discounted","blina_cost_low"
50000,"Blinatumomab and chemotherapy",0.886831275720165,TRUE,"discounted","blina_cost_low"
50000,"Chemotherapy only",0.113168724279835,FALSE,"discounted","blina_cost_low"
55000,"Blinatumomab and chemotherapy",0.909465020576132,TRUE,"discounted","blina_cost_low"
55000,"Chemotherapy only",0.0905349794238683,FALSE,"discounted","blina_cost_low"
60000,"Blinatumomab and chemotherapy",0.934156378600823,TRUE,"discounted","blina_cost_low"
60000,"Chemotherapy only",0.065843621399177,FALSE,"discounted","blina_cost_low"
65000,"Blinatumomab and chemotherapy",0.948559670781893,TRUE,"discounted","blina_cost_low"
65000,"Chemotherapy only",0.051440329218107,FALSE,"discounted","blina_cost_low"
70000,"Blinatumomab and chemotherapy",0.969135802469136,TRUE,"discounted","blina_cost_low"
70000,"Chemotherapy only",0.0308641975308642,FALSE,"discounted","blina_cost_low"
75000,"Blinatumomab and chemotherapy",0.979423868312757,TRUE,"discounted","blina_cost_low"
75000,"Chemotherapy only",0.0205761316872428,FALSE,"discounted","blina_cost_low"
80000,"Blinatumomab and chemotherapy",0.983539094650206,TRUE,"discounted","blina_cost_low"
80000,"Chemotherapy only",0.0164609053497942,FALSE,"discounted","blina_cost_low"
85000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_low"
85000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_low"
90000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","blina_cost_low"
90000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","blina_cost_low"
95000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_low"
95000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_low"
100000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_low"
100000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_low"
105000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","blina_cost_low"
105000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","blina_cost_low"
110000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","blina_cost_low"
110000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","blina_cost_low"
115000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","blina_cost_low"
115000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","blina_cost_low"
120000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","blina_cost_low"
120000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","blina_cost_low"
125000,"Blinatumomab and chemotherapy",0.995884773662551,TRUE,"discounted","blina_cost_low"
125000,"Chemotherapy only",0.00411522633744856,FALSE,"discounted","blina_cost_low"
130000,"Blinatumomab and chemotherapy",0.997942386831276,TRUE,"discounted","blina_cost_low"
130000,"Chemotherapy only",0.00205761316872428,FALSE,"discounted","blina_cost_low"
135000,"Blinatumomab and chemotherapy",0.997942386831276,TRUE,"discounted","blina_cost_low"
135000,"Chemotherapy only",0.00205761316872428,FALSE,"discounted","blina_cost_low"
140000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
140000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
145000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
145000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
150000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
150000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
155000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
155000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
160000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
160000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
165000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
165000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
170000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
170000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
175000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
175000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
180000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
180000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
185000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
185000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
190000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
190000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
195000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
195000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
200000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","blina_cost_low"
200000,"Chemotherapy only",0,FALSE,"discounted","blina_cost_low"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","blina_cost_high"
0,"Chemotherapy only",1,TRUE,"discounted","blina_cost_high"
5000,"Blinatumomab and chemotherapy",0.00205761316872428,FALSE,"discounted","blina_cost_high"
5000,"Chemotherapy only",0.997942386831276,TRUE,"discounted","blina_cost_high"
