"arm","le","le_bmt","le_rel"
"BSC","58.92 (55.2, 61.79)","40.36 (30.95, 49.63)","37.07 (29.73, 44.45)"
"Blina","61.48 (58.07, 64.27)","38.38 (28.47, 48.49)","33.82 (26.21, 41.93)"
