"","Overall"
"n","30000"
"age_Dx (mean (SD))"," 4.87 (2.43)"
"sexM = 1 (%)","14787 ( 49.3) "
"ruralY = 1 (%)"," 3174 ( 10.6) "
"dxyear (%)",""
"   2","  127 (  0.4) "
"   3"," 2308 (  7.7) "
"   4"," 3436 ( 11.5) "
"   5"," 3588 ( 12.0) "
"   6"," 2425 (  8.1) "
"   7"," 4493 ( 15.0) "
"   8"," 5446 ( 18.2) "
"   9"," 4575 ( 15.2) "
"   10"," 3602 ( 12.0) "
"wbc_cat>=50 = 0 (%)","30000 (100.0) "
"lineageT = 0 (%)","30000 (100.0) "
"leukemia_risk_groupstandard = 1 (%)","28407 ( 94.7) "
