"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","OS",500
30,0.99865,0.997779666666667,0.9901175,0.999833333333333,"BSC","OS",500
60,0.996066666666667,0.994989,0.98526,0.999084166666667,"BSC","OS",500
90,0.992516666666667,0.991445733333333,0.979396666666667,0.9975175,"BSC","OS",500
120,0.988683333333333,0.9876114,0.973504166666667,0.995101666666667,"BSC","OS",500
150,0.985016666666667,0.983985666666667,0.968005833333333,0.992850833333333,"BSC","OS",500
180,0.982066666666667,0.9808328,0.9633125,0.990685833333333,"BSC","OS",500
210,0.979566666666667,0.978176066666667,0.9596825,0.988941666666667,"BSC","OS",500
240,0.977333333333333,0.975861,0.956579166666667,0.987484166666667,"BSC","OS",500
270,0.975266666666667,0.973787266666667,0.953650833333333,0.986033333333334,"BSC","OS",500
300,0.973383333333333,0.971896533333333,0.9514325,0.984919166666667,"BSC","OS",500
330,0.97185,0.970129933333333,0.949773333333333,0.983255833333333,"BSC","OS",500
360,0.97025,0.968455733333333,0.947795,0.9820575,"BSC","OS",500
390,0.968433333333333,0.966853933333333,0.9457875,0.980803333333333,"BSC","OS",500
420,0.966766666666667,0.965301466666667,0.9432575,0.979768333333333,"BSC","OS",500
450,0.965266666666667,0.9638154,0.941564166666667,0.978519166666667,"BSC","OS",500
480,0.963883333333333,0.962342666666667,0.940131666666667,0.977559166666667,"BSC","OS",500
510,0.962216666666667,0.960912133333333,0.9377775,0.9764175,"BSC","OS",500
540,0.960783333333333,0.959527666666667,0.9360775,0.975073333333333,"BSC","OS",500
570,0.959316666666667,0.958152733333333,0.934241666666667,0.973975,"BSC","OS",500
600,0.957933333333333,0.9567848,0.932324166666667,0.972775,"BSC","OS",500
630,0.9566,0.955441133333333,0.930251666666667,0.9717225,"BSC","OS",500
660,0.955033333333333,0.9541292,0.928283333333334,0.9707225,"BSC","OS",500
690,0.953683333333333,0.952807466666667,0.926220833333334,0.9697175,"BSC","OS",500
720,0.9525,0.9515088,0.924435,0.968706666666667,"BSC","OS",500
750,0.951216666666667,0.9502146,0.9229925,0.967735,"BSC","OS",500
780,0.949933333333334,0.948934666666667,0.921770833333333,0.9665175,"BSC","OS",500
810,0.94875,0.947678666666667,0.920526666666667,0.96557,"BSC","OS",500
840,0.947633333333334,0.946422066666667,0.91932,0.964450833333334,"BSC","OS",500
870,0.946383333333333,0.945171533333333,0.917761666666667,0.963143333333333,"BSC","OS",500
900,0.945,0.943903333333333,0.916680833333333,0.962090833333333,"BSC","OS",500
930,0.94385,0.942659133333333,0.9151775,0.961208333333333,"BSC","OS",500
960,0.942633333333333,0.941412133333333,0.913623333333333,0.9600175,"BSC","OS",500
990,0.941366666666667,0.9401584,0.912099166666666,0.959105,"BSC","OS",500
1020,0.940133333333333,0.9389312,0.910456666666666,0.957933333333334,"BSC","OS",500
1050,0.938966666666667,0.937695066666667,0.908829166666666,0.956866666666667,"BSC","OS",500
1080,0.937766666666667,0.936469066666667,0.907331666666666,0.9560175,"BSC","OS",500
1110,0.93655,0.935261866666667,0.905978333333333,0.955075,"BSC","OS",500
1140,0.935383333333333,0.9340498,0.904788333333333,0.954343333333334,"BSC","OS",500
1170,0.9342,0.932832066666667,0.9036475,0.953154166666667,"BSC","OS",500
1200,0.933083333333333,0.9316332,0.9026025,0.952320833333334,"BSC","OS",500
1230,0.93175,0.930411066666667,0.901214166666666,0.951468333333333,"BSC","OS",500
1260,0.930516666666667,0.929200866666667,0.899499166666666,0.9504325,"BSC","OS",500
1290,0.929366666666667,0.9279902,0.89816,0.949219166666666,"BSC","OS",500
1320,0.92815,0.9268034,0.896453333333333,0.948168333333334,"BSC","OS",500
1350,0.926983333333333,0.925620066666667,0.895200833333333,0.9470875,"BSC","OS",500
1380,0.92565,0.924452533333333,0.894000833333333,0.946029166666667,"BSC","OS",500
1410,0.924566666666667,0.9232794,0.892570833333333,0.9449175,"BSC","OS",500
1440,0.923333333333333,0.9221012,0.890953333333333,0.9438575,"BSC","OS",500
1470,0.922116666666667,0.9209436,0.889635833333333,0.942868333333334,"BSC","OS",500
1500,0.9211,0.919792866666667,0.8879375,0.941885833333333,"BSC","OS",500
1530,0.919866666666667,0.9186614,0.886515833333333,0.941001666666667,"BSC","OS",500
1560,0.918716666666666,0.9175526,0.885191666666666,0.9401175,"BSC","OS",500
1590,0.917766666666667,0.9164504,0.883788333333333,0.939201666666667,"BSC","OS",500
1620,0.916416666666667,0.915368466666667,0.8822225,0.938235,"BSC","OS",500
1650,0.91525,0.914298066666667,0.880746666666667,0.9373175,"BSC","OS",500
1680,0.9141,0.9132586,0.879561666666667,0.936584166666667,"BSC","OS",500
1710,0.91305,0.9122118,0.8785125,0.93571,"BSC","OS",500
1740,0.912066666666667,0.911185066666667,0.877445833333333,0.934838333333333,"BSC","OS",500
1770,0.910933333333333,0.910173,0.876044166666667,0.934311666666667,"BSC","OS",500
1800,0.909933333333333,0.909183733333333,0.874725833333333,0.933638333333333,"BSC","OS",500
1830,0.908866666666667,0.908209866666667,0.873309166666666,0.9328,"BSC","OS",500
1860,0.908,0.9072652,0.872114166666667,0.931954166666667,"BSC","OS",500
1890,0.907066666666667,0.906341,0.87117,0.93147,"BSC","OS",500
1920,0.90605,0.9054328,0.869808333333333,0.930833333333333,"BSC","OS",500
1950,0.905266666666666,0.9045416,0.868445,0.9303,"BSC","OS",500
1980,0.904116666666666,0.9036688,0.867385833333333,0.9297,"BSC","OS",500
2010,0.903366666666666,0.9028158,0.866285,0.9288875,"BSC","OS",500
2040,0.90245,0.901974333333333,0.865449166666667,0.928189166666667,"BSC","OS",500
2070,0.901616666666667,0.901150533333333,0.864528333333333,0.927636666666666,"BSC","OS",500
2100,0.900883333333333,0.900367,0.8636825,0.92717,"BSC","OS",500
2130,0.900116666666667,0.899597066666667,0.862970833333333,0.926594166666666,"BSC","OS",500
2160,0.899316666666667,0.898841266666667,0.86211,0.9259525,"BSC","OS",500
2190,0.898616666666667,0.898085266666667,0.861345,0.925438333333333,"BSC","OS",500
2220,0.898066666666666,0.897359933333333,0.8605275,0.924860833333333,"BSC","OS",500
2250,0.897533333333333,0.896646733333333,0.859615,0.924295833333333,"BSC","OS",500
2280,0.896683333333333,0.895946733333333,0.8589075,0.923759166666666,"BSC","OS",500
2310,0.896133333333333,0.895267866666667,0.858198333333333,0.923301666666666,"BSC","OS",500
2340,0.89535,0.8945966,0.857510833333333,0.922846666666666,"BSC","OS",500
2370,0.894533333333333,0.893940666666667,0.856879166666667,0.92234,"BSC","OS",500
2400,0.894016666666667,0.893300866666667,0.856033333333333,0.921568333333333,"BSC","OS",500
2430,0.89335,0.892682533333333,0.855423333333333,0.9210925,"BSC","OS",500
2460,0.89265,0.892076866666667,0.854665833333333,0.920743333333333,"BSC","OS",500
