"","(Intercept)","ns(x = interval, df = k)1","ns(x = interval, df = k)2","ns(x = interval, df = k)3"
"(Intercept)",0.100200323601909,-0.00437614366294409,-0.219106444124424,-0.0526906978142935
"ns(x = interval, df = k)1",-0.00437614366294409,0.34136789261451,-0.0680797024752491,-0.13499180864756
"ns(x = interval, df = k)2",-0.219106444124424,-0.0680797024752491,0.591792489466556,0.236249145795302
"ns(x = interval, df = k)3",-0.0526906978142935,-0.13499180864756,0.236249145795302,0.328960502023935
