"","(Intercept)","ns(x = interval, df = k)1","ns(x = interval, df = k)2","ns(x = interval, df = k)3","sexM","age_Dx","dxyear","lineageT","leukemia_risk_groupstandard"
"(Intercept)",1224.06435528821,-0.00123401008345834,-0.0806412242557999,-0.124837040604805,-0.0254249190912653,-0.0171537953915731,-0.609052122774771,0.0103570614123074,-0.364336673556841
"ns(x = interval, df = k)1",-0.00123401008345834,0.00123630077038556,-0.000537454445321438,-0.000754198587699372,0.0000104414644702889,-0.000000490350253010138,0.00000059656856601409,-0.000016016073338155,-0.0000276603870682361
"ns(x = interval, df = k)2",-0.0806412242557999,-0.000537454445321438,0.00430099153976084,0.00199611405756988,0.00000559966027649944,0.000000772206670670623,0.0000394833824402496,0.00000864611600194509,-0.0000902326009628672
"ns(x = interval, df = k)3",-0.124837040604805,-0.000754198587699372,0.00199611405756988,0.00249026022139725,-0.0000011773466196141,-0.000000297711683769593,0.0000619793381379985,-0.00000180059696182014,-0.0000219766693543184
"sexM",-0.0254249190912653,0.0000104414644702889,0.00000559966027649944,-0.0000011773466196141,0.00441461624623406,-0.0000258638251040536,0.0000116429744352975,-0.000947502813440065,-0.000197861401725136
"age_Dx",-0.0171537953915731,-0.000000490350253010138,0.000000772206670670623,-0.000000297711683769593,-0.0000258638251040536,0.0000899100144920949,0.00000812780475320322,-0.000018577085409799,0.000497192863481459
"dxyear",-0.609052122774771,0.00000059656856601409,0.0000394833824402496,0.0000619793381379985,0.0000116429744352975,0.00000812780475320322,0.000303046484294109,-0.00000618242236462893,0.000177243452187032
"lineageT",0.0103570614123074,-0.000016016073338155,0.00000864611600194509,-0.00000180059696182014,-0.000947502813440065,-0.000018577085409799,-0.00000618242236462893,0.0131550342755346,0.00206536851422359
"leukemia_risk_groupstandard",-0.364336673556841,-0.0000276603870682361,-0.0000902326009628672,-0.0000219766693543184,-0.000197861401725136,0.000497192863481459,0.000177243452187032,0.00206536851422359,0.00802125657833221
