"(Intercept)","ns(x = interval, df = k)1","ns(x = interval, df = k)2","ns(x = interval, df = k)3"
"(Intercept)",1.58578642338122,-1.26462611883087,-2.24947958497009,-1.03833563363676
"ns(x = interval, df = k)1",-1.26462611883087,9.75318207633978,0.775418200809331,-2.86035312594149
"ns(x = interval, df = k)2",-2.24947958497009,0.775418200809331,6.96901814434305,3.00741030192039
"ns(x = interval, df = k)3",-1.03833563363676,-2.86035312594149,3.00741030192039,16.4851612803501
