"","(Intercept)","ns(x = interval, df = k)1","ns(x = interval, df = k)2","ns(x = interval, df = k)3","sexM","age_Dx","dxyear","lineageT"
"(Intercept)",12475.6414435732,-1.70403470757163,-4.82716879686695,-2.77989793154809,6.84935743528244,0.862411524121222,-6.20496999848367,-5.17543557530311
"ns(x = interval, df = k)1",-1.70403470757163,0.0809947898343793,-0.027522416824362,-0.0478329939864643,0.00232047985829556,-0.000109769039201276,0.000846590452198663,0.000515995513214455
"ns(x = interval, df = k)2",-4.82716879686695,-0.027522416824362,0.18463297504726,0.10110267490742,-0.00232093207253861,-0.000469450543163748,0.00238346862196378,0.0326107436046026
"ns(x = interval, df = k)3",-2.77989793154809,-0.0478329939864643,0.10110267490742,0.140003520204081,-0.000432714398262378,-0.000352347508575211,0.00137822638464093,0.00867249803616575
"sexM",6.84935743528244,0.00232047985829556,-0.00232093207253861,-0.000432714398262378,0.0748932458921647,-0.000530388395625827,-0.00342625374059576,-0.0271231505432457
"age_Dx",0.862411524121222,-0.000109769039201276,-0.000469450543163748,-0.000352347508575211,-0.000530388395625827,0.000698359139871058,-0.000431537052007283,0.00121559966887871
"dxyear",-6.20496999848367,0.000846590452198663,0.00238346862196378,0.00137822638464093,-0.00342625374059576,-0.000431537052007283,0.00308617056627964,0.00256411252225996
"lineageT",-5.17543557530311,0.000515995513214455,0.0326107436046026,0.00867249803616575,-0.0271231505432457,0.00121559966887871,0.00256411252225996,0.51403091943283
