"","(Intercept)","ns(x = interval, df = k)1","ns(x = interval, df = k)2","ns(x = interval, df = k)3"
"(Intercept)",0.177054576512021,-0.00547313089664278,-0.394231552851501,-0.0567101503355377
"ns(x = interval, df = k)1",-0.00547313089664278,0.640404386732507,-0.194549014628873,-0.146601653074036
"ns(x = interval, df = k)2",-0.394231552851501,-0.194549014628873,1.28758320645052,0.325162199537556
"ns(x = interval, df = k)3",-0.0567101503355377,-0.146601653074036,0.325162199537556,0.47535870281088
