"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
0,1,1,1,1,"BSC","OS",500
30,0.9996,0.999262733333333,0.996315833333333,1,"BSC","OS",500
60,0.998866666666667,0.998313333333333,0.9937125,0.999833333333333,"BSC","OS",500
90,0.997833333333333,0.997097,0.990779166666667,0.9995175,"BSC","OS",500
120,0.996533333333333,0.995780733333333,0.988198333333333,0.999035,"BSC","OS",500
150,0.995433333333333,0.994463266666667,0.984580833333333,0.9985,"BSC","OS",500
180,0.994433333333333,0.993209733333333,0.981780833333334,0.997933333333334,"BSC","OS",500
210,0.993366666666667,0.992060266666667,0.979779166666667,0.997250833333333,"BSC","OS",500
240,0.992416666666667,0.9909644,0.9780825,0.9966,"BSC","OS",500
270,0.991416666666667,0.989896866666667,0.9766825,0.995966666666667,"BSC","OS",500
300,0.99035,0.988862133333333,0.974725,0.995350833333333,"BSC","OS",500
330,0.98935,0.9878482,0.973400833333333,0.994635,"BSC","OS",500
360,0.988383333333333,0.9868478,0.971879166666667,0.993908333333333,"BSC","OS",500
390,0.987333333333334,0.985863266666667,0.969963333333333,0.993078333333333,"BSC","OS",500
420,0.9864,0.9848874,0.968965,0.992311666666667,"BSC","OS",500
450,0.9855,0.983930133333333,0.967596666666667,0.991606666666667,"BSC","OS",500
480,0.98455,0.9830006,0.966093333333333,0.990833333333333,"BSC","OS",500
510,0.983633333333333,0.9820818,0.964921666666666,0.9902525,"BSC","OS",500
540,0.982766666666667,0.981190733333333,0.963614166666666,0.989701666666667,"BSC","OS",500
570,0.98195,0.980311066666667,0.962174166666667,0.989,"BSC","OS",500
600,0.981033333333333,0.979448066666667,0.961025,0.988450833333333,"BSC","OS",500
630,0.980266666666667,0.978596133333333,0.95976,0.987905,"BSC","OS",500
660,0.979333333333333,0.977764333333333,0.958815833333333,0.987320833333333,"BSC","OS",500
690,0.978516666666667,0.976952533333333,0.957849166666667,0.986584166666667,"BSC","OS",500
720,0.977766666666666,0.976158066666667,0.956609166666667,0.986033333333333,"BSC","OS",500
750,0.97695,0.975373733333333,0.955723333333333,0.985450833333333,"BSC","OS",500
780,0.976116666666667,0.974600133333333,0.954723333333333,0.984936666666667,"BSC","OS",500
810,0.9754,0.973838866666667,0.953745833333333,0.984433333333333,"BSC","OS",500
