"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
185000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
185000,"Chemotherapy only",0,FALSE,"discounted","base_case"
190000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
190000,"Chemotherapy only",0,FALSE,"discounted","base_case"
195000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
195000,"Chemotherapy only",0,FALSE,"discounted","base_case"
200000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
200000,"Chemotherapy only",0,FALSE,"discounted","base_case"
0,"Blinatumomab and chemotherapy",0,FALSE,"undiscounted","base_case"
0,"Chemotherapy only",1,TRUE,"undiscounted","base_case"
5000,"Blinatumomab and chemotherapy",0.0143737166324435,FALSE,"undiscounted","base_case"
5000,"Chemotherapy only",0.985626283367556,TRUE,"undiscounted","base_case"
10000,"Blinatumomab and chemotherapy",0.131416837782341,FALSE,"undiscounted","base_case"
10000,"Chemotherapy only",0.868583162217659,TRUE,"undiscounted","base_case"
15000,"Blinatumomab and chemotherapy",0.371663244353183,FALSE,"undiscounted","base_case"
15000,"Chemotherapy only",0.628336755646817,TRUE,"undiscounted","base_case"
20000,"Blinatumomab and chemotherapy",0.616016427104723,TRUE,"undiscounted","base_case"
20000,"Chemotherapy only",0.383983572895277,FALSE,"undiscounted","base_case"
25000,"Blinatumomab and chemotherapy",0.792607802874743,TRUE,"undiscounted","base_case"
25000,"Chemotherapy only",0.207392197125257,FALSE,"undiscounted","base_case"
30000,"Blinatumomab and chemotherapy",0.885010266940452,TRUE,"undiscounted","base_case"
30000,"Chemotherapy only",0.114989733059548,FALSE,"undiscounted","base_case"
35000,"Blinatumomab and chemotherapy",0.921971252566735,TRUE,"undiscounted","base_case"
35000,"Chemotherapy only",0.0780287474332649,FALSE,"undiscounted","base_case"
40000,"Blinatumomab and chemotherapy",0.948665297741273,TRUE,"undiscounted","base_case"
40000,"Chemotherapy only",0.0513347022587269,FALSE,"undiscounted","base_case"
45000,"Blinatumomab and chemotherapy",0.973305954825462,TRUE,"undiscounted","base_case"
45000,"Chemotherapy only",0.026694045174538,FALSE,"undiscounted","base_case"
50000,"Blinatumomab and chemotherapy",0.979466119096509,TRUE,"undiscounted","base_case"
50000,"Chemotherapy only",0.0205338809034908,FALSE,"undiscounted","base_case"
55000,"Blinatumomab and chemotherapy",0.985626283367556,TRUE,"undiscounted","base_case"
55000,"Chemotherapy only",0.0143737166324435,FALSE,"undiscounted","base_case"
60000,"Blinatumomab and chemotherapy",0.989733059548255,TRUE,"undiscounted","base_case"
60000,"Chemotherapy only",0.0102669404517454,FALSE,"undiscounted","base_case"
65000,"Blinatumomab and chemotherapy",0.991786447638604,TRUE,"undiscounted","base_case"
65000,"Chemotherapy only",0.0082135523613963,FALSE,"undiscounted","base_case"
70000,"Blinatumomab and chemotherapy",0.991786447638604,TRUE,"undiscounted","base_case"
70000,"Chemotherapy only",0.0082135523613963,FALSE,"undiscounted","base_case"
75000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
75000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
80000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
80000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
85000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
85000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
90000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
90000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
