"","coef(model)"
"(Intercept)",-1.81911428318458
"age_Dx",0.0193200821319707
"sexM",-0.238688549629176
"SES2",-0.154183617473764
"SES3",-0.243235874276812
"SES4",-0.611514773830451
"SES5",-0.479433414244405
