"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5"
"(Intercept)",0.0968635360992132,-0.00337252828716039,-0.0318404474192793,-0.0617417747219032,-0.0601095563836437,-0.0595219566061709,-0.0620265403779488
"age_Dx",-0.00337252828716039,0.000616510275745669,-0.000228982869110971,-0.0000306852656699764,-0.00045521761058817,-0.000711161142526466,-0.000314761300225887
"sexM",-0.0318404474192793,-0.000228982869110971,0.0534342864089708,0.00649682051511147,0.00776704487539388,0.00917193822520195,0.00956659390987357
"SES2",-0.0617417747219032,-0.0000306852656699764,0.00649682051511147,0.118637181490436,0.0588329688348398,0.0590049380115537,0.0590510827586877
"SES3",-0.0601095563836437,-0.00045521761058817,0.00776704487539388,0.0588329688348398,0.115785217904691,0.0596804108113849,0.0594648929488183
"SES4",-0.0595219566061709,-0.000711161142526466,0.00917193822520195,0.0590049380115537,0.0596804108113849,0.138128944347167,0.0598275745866405
"SES5",-0.0620265403779488,-0.000314761300225887,0.00956659390987357,0.0590510827586877,0.0594648929488183,0.0598275745866405,0.144558847310967
