"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort"
"2003",-1.03890934928685,0.049236347177596,-0.0142568968253183,0.934758710292158,-0.703023593900043,1.18946314074032,0.722625002264044,0.350710458381553,-0.364546736807032
"2004",0.743051466190955,0.0215260150369966,0.227855525175938,-0.401321072808562,-0.221220259354679,0.267838578263277,0.0222824001982411,-0.447489638671673,-0.509762901909626
"2005",1.20576634943477,0.0111133166764375,0.0236333561416573,0.535620738682053,0.408639209653971,0.397793031172841,-0.427488305924311,-0.685532634018642,-0.43183876824828
"2006",1.66776028192058,-0.0504815672024757,0.116655857312658,-0.327773804032038,-0.210607903216739,0.44438176276689,-0.353654111840667,0.201860339936611,-0.0941517821771898
"2007",1.4373842989511,-0.0166364420734333,0.314177441233367,-0.200318686157796,0.144638320402971,0.383412911390237,-0.398866890258918,-0.923612547432064,-0.0903063310372898
"2008",1.64448069229871,-0.0349560935175797,0.0126486631268221,-0.25871742951913,-0.0199099935696225,0.668983629400732,0.0255274037831489,0.00912413919040866,-0.242740619875266
"2009",1.47672502696525,-0.0336047070533383,0.185795290033888,0.355934751103977,0.134025207963741,1.12419335170114,0.239924934355374,-0.214369168203914,-0.47667166049094
"2010",1.75346893653481,-0.0512831391847657,0.0125388951470211,-0.0135817234971866,0.639259889594962,1.08384616878681,0.432833400254173,-0.535442322605507,-0.255422914053283
"2011",1.44201292663354,-0.0384800238366617,0.0186536316065075,0.346648599990803,0.167767807326089,0.801682596009573,0.0820894680975009,-0.269821051693541,-0.231640668826231
"2012",1.44532483391998,0.00463290363159273,0.175992570522375,0.110992426867361,0.564562136547022,0.689147347012518,-0.251022136288917,-0.4510371447067,-0.40488557004279
