"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT","protocolDFCI"
"Favorable",14.8921343083169,-0.227555132480115,0.170832832031928,1.72061899063769,1.64684687290786,1.83940482335042,0.691299096795715,-0.238827297915643,-0.578161120783407,13.552396572265,-11.5324508227842,18.1221408020262,-10.6763985970408,22.0430932452657,-11.2788277262468,-12.3126628901606,-9.91186433503402,-11.8051395698482,-10.9045079490954,24.3404149734938,29.4714229425437
"Neutral",13.6465336504954,-0.139508359220839,-0.0379572254893281,1.59802293994478,1.70902749056348,1.89509506010182,0.91788995478763,-0.278868555649954,-0.540500399846322,14.0516307841866,-11.5743849887596,18.2804739999958,-11.1016173123436,22.0113526703527,-11.6383951363947,-11.7746454315539,-9.96043121519457,-11.0559665974523,-10.6076833147777,27.6007591978311,30.0456277938557
"Unfavorable",11.9547751754382,-0.110400242998515,0.279564807943972,0.953872604381208,1.31010261354554,1.8941454394958,0.502755588767311,-0.0236385025434661,-0.306020077213694,14.6870771927246,-12.3888511053447,18.5578696094507,-11.1424289238741,21.5703976489463,-11.1440973366317,-11.7239776396378,-10.0421242973751,-13.1348326046039,-10.5212687226843,26.2813598682972,29.1652444080506
