"","coef(model)"
"(Intercept)",1.53033620079669
"age_Dx",-0.0255261884326367
"sexM",0.00322756043060028
"SES2",-0.274545207813563
"SES3",0.217581969488994
"SES4",0.12108460989415
"SES5",0.0240083572243011
"ruralY",-2.06992013379916
