"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT","protocolDFCI","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","wbc_cat>=50","leukemia_risk_groupstandard","cns_statusCNS2","cns_statusCNS3"
"0.1%-1%",-4.01405571365985,0.0169211061987935,0.378475659291679,1.1414451140812,1.56389779506648,0.0892493577667844,0.0220377614610512,0.765985710229315,-2.38958578471503,8.9736200545788,-10.7724233224785,4.85813894279969,3.96785046256317,5.38759704364279,-13.433258789461,3.67230751154419,6.12255216142629,5.56439093970443,3.74981751333517,0.417328551887443,-19.8924284058542,1.00474834362516,0.716683342148504,0.134105603653159,-0.669054839430657,-0.560292914688045,-19.6496199744589,-20.4848851122988
">1%",-8.80564496013635,0.138594698230789,-0.24676471404359,0.0876164550031968,1.02130554657231,0.352927052713337,1.07971926226304,1.19380210641129,-2.41553290041105,4.01763763993765,-16.280145229445,8.39909390094199,8.38210474174792,9.06054734205433,8.97494316238927,-24.7320826552056,9.70019626136621,8.05256787920582,8.30616352188727,-0.411563569914344,0.244412946062066,-0.80925580859333,0.23790135308289,-1.39027202915153,1.74270756485424,0.193956456104275,0.234938777970189,-0.104781119494771
"Negative",-6.68938695194996,-0.0240955336002982,-0.0770197326171777,0.283738825954943,0.575055686753858,-0.00280205197403332,-0.154779455075034,0.213670191800651,-1.68046468892605,-7.21114997511264,8.01636573827308,8.65976047616639,8.53171909904456,9.76324200602978,9.43684833521952,8.72875054416004,10.1309562415813,9.62369556156228,9.01594854699715,-0.402378276927075,-1.62418732110468,2.07088888239083,1.94423690793462,0.586102130368102,-0.206307420436691,0.039289207162579,0.758989028261533,-0.322408721484166
"Not measured",20.3150552778287,0.0263481693788927,0.465709487846227,0.831537748001221,0.539448001184377,0.144259564689186,0.432079147889398,1.11292164005369,-2.7611334245456,-2.02632666797378,-16.0766965606471,-18.0285338805388,-20.4775725912164,-18.6160854235887,-18.39175725001,-19.8788237812706,-18.9209438172504,-20.3362409331721,-19.9085757978131,0.818274412736308,0.581590136578929,0.65835005879297,1.19720805520822,0.334297516239278,-0.808196180219514,0.0908258622735154,1.20769451435416,-0.298430136408077
