"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY"
"(Intercept)",0.0665850701345243,-0.00199609763056976,-0.0199763039631647,-0.0429348974133265,-0.041091592422425,-0.041685289249132,-0.0430557287732533,-0.0122492432038388
"age_Dx",-0.00199609763056976,0.000360049080527309,-0.0000921882230997087,0.0000243830589586677,-0.000280238493724572,-0.000388194411317693,-0.000140813058048985,0.0000252732329528895
"sexM",-0.0199763039631647,-0.0000921882230997087,0.0311166258421004,0.0033347339219263,0.00393654902164522,0.00483615040212107,0.0048868890583745,0.00173371643338855
"SES2",-0.0429348974133265,0.0000243830589586677,0.0033347339219263,0.074289019626168,0.0404744925657595,0.0407281283545559,0.0407365053546114,0.0031571909293249
"SES3",-0.041091592422425,-0.000280238493724572,0.00393654902164522,0.0404744925657595,0.0782473023770885,0.0409708095233435,0.0407913453212172,0.000354684166421492
"SES4",-0.041685289249132,-0.000388194411317693,0.00483615040212107,0.0407281283545559,0.0409708095233435,0.0788480929704536,0.0411501075893294,0.00387018306953622
"SES5",-0.0430557287732533,-0.000140813058048985,0.0048868890583745,0.0407365053546114,0.0407913453212172,0.0411501075893294,0.0838879193867627,0.00346531412834037
"ruralY",-0.0122492432038388,0.0000252732329528895,0.00173371643338855,0.0031571909293249,0.000354684166421492,0.00387018306953622,0.00346531412834037,0.0617621742013603
